

[4]:22 6 27 周一 10:10:04
XRPUSDT
样本数:500 总匹配量:500 百分比:1
prev_weight:4, max_weight:3, price_weight:3, close_weight:3, volume_weight:2, need_weight:35, similar_range:0.1, similar_val:0.005, need_count:150, RATE_DELTA:0.05, E_DELTA:0.0001, 
优质数:220	正确率:62.273%	交易期望:0.101%
18149 num:3936 	3-e涨幅:-0.018% e涨率:44.441% 	False:0.463%
18150 num:2200 	1-e涨幅:-0.011% e涨率:41.658% 	True:-0.126%
18150 num:2200 	2-e涨幅:-0.02% e涨率:42.693% 	False:0.084%
18150 num:2200 	3-e涨幅:-0.03% e涨率:42.758% 	True:-0.628%
18151 num:4085 	2-e涨幅:-0.015% e涨率:43.805% 	True:-0.502%
18151 num:4085 	3-e涨幅:-0.016% e涨率:44.041% 	True:-0.628%
18152 num:2907 	2-e涨幅:-0.018% e涨率:43.822% 	True:-0.838%
18152 num:2907 	3-e涨幅:-0.025% e涨率:43.757% 	True:-0.754%
18156 num:10064 	1-e涨幅:-0.011% e涨率:43.732% 	True:-0.042%
18171 num:1406 	1-e涨幅:-0.014% e涨率:42.986% 	True:-0.208%
18171 num:1406 	2-e涨幅:-0.014% e涨率:44.034% 	True:-0.125%
18171 num:1406 	3-e涨幅:-0.04% e涨率:42.436% 	True:-0.291%
18191 num:5216 	1-e涨幅:0.023% e涨率:55.391% 	False:-0.042%
18191 num:5216 	2-e涨幅:0.024% e涨率:56.664% 	False:-0.21%
18191 num:5216 	3-e涨幅:0.026% e涨率:56.471% 	False:-0.463%
18192 num:7353 	2-e涨幅:0.015% e涨率:55.271% 	False:-0.421%
18192 num:7353 	3-e涨幅:0.015% e涨率:55.109% 	False:-0.379%
18193 num:4762 	1-e涨幅:0.015% e涨率:55.152% 	False:-0.253%
18193 num:4762 	2-e涨幅:0.012% e涨率:56.276% 	False:-0.21%
18193 num:4762 	3-e涨幅:0.022% e涨率:56.628% 	False:-0.042%
18194 num:12534 	2-e涨幅:0.027% e涨率:57.743% 	True:0.211%
18194 num:12534 	3-e涨幅:0.034% e涨率:58.471% 	True:0.253%
18195 num:16320 	2-e涨幅:0.018% e涨率:56.38% 	True:0.211%
18195 num:16320 	3-e涨幅:0.024% e涨率:57.304% 	False:-0.042%
18198 num:17059 	2-e涨幅:0.016% e涨率:56.088% 	True:0.464%
18198 num:17059 	3-e涨幅:0.018% e涨率:57.099% 	True:0.59%
18226 num:10909 	1-e涨幅:-0.01% e涨率:43.695% 	False:0.041%
18229 num:8300 	2-e涨幅:-0.015% e涨率:44.782% 	True:-0.371%
18229 num:8300 	3-e涨幅:-0.01% e涨率:44.894% 	True:-0.04%
18232 num:11372 	1-e涨幅:-0.013% e涨率:44.12% 	True:-0.165%
18250 num:5397 	1-e涨幅:0.027% e涨率:56.156% 	False:0%
18250 num:5397 	2-e涨幅:0.025% e涨率:57.169% 	True:0.166%
18250 num:5397 	3-e涨幅:0.018% e涨率:56.611% 	True:0.166%
18251 num:12063 	2-e涨幅:0.011% e涨率:55.137% 	True:0.166%
18251 num:12063 	3-e涨幅:0.012% e涨率:55.299% 	True:0.125%
18256 num:31883 	3-e涨幅:0.012% e涨率:55.138% 	True:0.416%
18298 num:13961 	2-e涨幅:0.017% e涨率:56.383% 	True:0.001%
18298 num:13961 	3-e涨幅:0.021% e涨率:56.507% 	True:0.043%
18300 num:25922 	3-e涨幅:0.014% e涨率:56.12% 	True:0.167%
18323 num:6332 	1-e涨幅:0.026% e涨率:56.1% 	False:-0.125%
18323 num:6332 	2-e涨幅:0.031% e涨率:58.177% 	False:-0.042%
18323 num:6332 	3-e涨幅:0.028% e涨率:57.657% 	True:0.335%
18324 num:6813 	1-e涨幅:0.018% e涨率:55.006% 	True:0.084%
18324 num:6813 	2-e涨幅:0.016% e涨率:56.489% 	True:0.46%
18324 num:6813 	3-e涨幅:0.018% e涨率:56.205% 	True:1.169%
18325 num:14042 	3-e涨幅:0.017% e涨率:56.084% 	True:0.961%
18345 num:7175 	1-e涨幅:0.024% e涨率:56.054% 	False:-0.126%
18345 num:7175 	2-e涨幅:0.026% e涨率:57.719% 	False:-0.461%
18345 num:7175 	3-e涨幅:0.025% e涨率:57.16% 	False:-0.377%
18346 num:5580 	2-e涨幅:0.017% e涨率:56.491% 	False:-0.251%
18346 num:5580 	3-e涨幅:0.022% e涨率:56.363% 	False:-0.335%
18347 num:3588 	1-e涨幅:0.022% e涨率:56.651% 	True:0.084%
18347 num:3588 	2-e涨幅:0.03% e涨率:57.907% 	True:0%
18347 num:3588 	3-e涨幅:0.042% e涨率:57.92% 	False:-0.042%
18348 num:14764 	2-e涨幅:0.018% e涨率:56.65% 	False:-0.126%
18348 num:14764 	3-e涨幅:0.026% e涨率:57.802% 	True:0.126%
18349 num:13724 	2-e涨幅:0.015% e涨率:56.292% 	True:0.21%
18349 num:13724 	3-e涨幅:0.021% e涨率:57.593% 	True:0.085%
18350 num:12779 	2-e涨幅:0.017% e涨率:56.526% 	True:0.127%
18350 num:12779 	3-e涨幅:0.022% e涨率:57.604% 	True:0.378%
18361 num:8535 	1-e涨幅:0.022% e涨率:56.216% 	True:0.084%
18361 num:8535 	2-e涨幅:0.036% e涨率:59.25% 	False:-0.253%
18361 num:8535 	3-e涨幅:0.043% e涨率:59.801% 	False:-0.888%
18362 num:13298 	2-e涨幅:0.021% e涨率:57% 	False:-0.972%
18362 num:13298 	3-e涨幅:0.029% e涨率:58.044% 	False:-0.717%
18363 num:5973 	1-e涨幅:0.017% e涨率:55.909% 	False:-0.635%
18363 num:5973 	2-e涨幅:0.029% e涨率:58.863% 	False:-0.379%
18363 num:5973 	3-e涨幅:0.044% e涨率:60.015% 	False:-0.379%
18364 num:1162 	1-e涨幅:0.039% e涨率:59.709% 	True:0.256%
18364 num:1162 	2-e涨幅:0.07% e涨率:62.649% 	True:0.256%
